verbose,epochs,replay_rate,threshold,save_to_file,num_centers,lamb,select_sample,conditional_train,conditional_prediction,same_initial,Task 0,Task 1,Task 2,Task 3,Task 4,Average
False,20,0.1,,mnist_contitonal_all.csv,4,2,False,False,True,False,0.9749408983451536,0.8991185112634672,0.9156883671291356,0.9577039274924471,0.9798285426122038,0.9454560493684815
False,20,0.2,,mnist_contitonal_all.csv,1,,True,False,True,True,0.983451536643026,0.9524975514201763,0.9188900747065102,0.9642497482376636,0.9596570852244075,0.9557491992463568
False,20,0.2,,mnist_contitonal_all.csv,1,,True,False,True,False,0.9895981087470449,0.9539666993143977,0.8927427961579509,0.9577039274924471,0.9717599596570852,0.9531542982737852
False,20,0.2,,mnist_contitonal_all.csv,1,,False,False,True,True,0.9749408983451536,0.9373163565132223,0.9466382070437567,0.9637462235649547,0.9712556732223904,0.9587794717378955
False,20,0.2,,mnist_contitonal_all.csv,1,,False,False,True,False,0.9825059101654846,0.9417238001958864,0.9461045891141943,0.972306143001007,0.9773071104387292,0.9639895105830604
False,20,0.2,,mnist_contitonal_all.csv,1,1,True,False,True,True,0.9796690307328605,0.9485798237022527,0.9493062966915689,0.9078549848942599,0.9591527987897126,0.9489125869621308
False,20,0.2,,mnist_contitonal_all.csv,1,1,True,False,True,False,0.9843971631205674,0.9373163565132223,0.9338313767342583,0.9612286002014099,0.9762985375693394,0.9586144068277594
False,20,0.2,,mnist_contitonal_all.csv,1,1,False,False,True,True,0.9825059101654846,0.9451518119490695,0.9461045891141943,0.9712990936555891,0.9762985375693394,0.9642719884907354
False,20,0.2,,mnist_contitonal_all.csv,1,1,False,False,True,False,0.9810874704491725,0.941234084231146,0.9578441835645678,0.973313192346425,0.9682299546142209,0.9643417770411065
False,20,0.2,,mnist_contitonal_all.csv,1,2,True,False,True,True,0.9881796690307328,0.94564152791381,0.9332977588046958,0.9632426988922457,0.9667170953101362,0.959415749990324
False,20,0.2,,mnist_contitonal_all.csv,1,2,True,False,True,False,0.9877068557919622,0.9363369245837414,0.9231590181430096,0.9546827794561934,0.9717599596570852,0.9547291075263983
False,20,0.2,,mnist_contitonal_all.csv,1,2,False,False,True,True,0.9867612293144208,0.9505386875612145,0.9461045891141943,0.972306143001007,0.9707513867876955,0.9652924071557065
False,20,0.2,,mnist_contitonal_all.csv,1,2,False,False,True,False,0.9806146572104019,0.9569049951028403,0.9509071504802561,0.9546827794561934,0.9682299546142209,0.9622679073727826
False,20,0.2,,mnist_contitonal_all.csv,2,,True,False,True,True,0.9877068557919622,0.9573947110675808,0.923692636072572,0.9531722054380665,0.9636913767019667,0.9571315570144296
False,20,0.2,,mnist_contitonal_all.csv,2,,True,False,True,False,0.9867612293144208,0.9221351616062684,0.9338313767342583,0.9582074521651561,0.9747856782652546,0.9551441796170718
False,20,0.2,,mnist_contitonal_all.csv,2,,False,False,True,True,0.984869976359338,0.9378060724779628,0.932230522945571,0.9637462235649547,0.9722642460917801,0.9581834082879214
False,20,0.2,,mnist_contitonal_all.csv,2,,False,False,True,False,0.9801418439716312,0.9500489715964741,0.9546424759871932,0.9697885196374623,0.9586485123550177,0.9626540647095556
False,20,0.2,,mnist_contitonal_all.csv,2,1,True,False,True,True,0.9895981087470449,0.9407443682664055,0.9541088580576307,0.9531722054380665,0.9652042360060514,0.9605655553030399
False,20,0.2,,mnist_contitonal_all.csv,2,1,True,False,True,False,0.9371158392434988,0.9480901077375122,0.9204909284951974,0.9526686807653575,0.9667170953101362,0.9450165303103404
False,20,0.2,,mnist_contitonal_all.csv,2,,True,False,True,True,0.9872340425531915,0.9343780607247796,0.8980789754535753,0.9602215508559919,0.9606656580937972,0.948115657536267
False,20,0.2,,mnist_contitonal_all.csv,2,,True,False,True,False,0.992434988179669,0.941234084231146,0.9119530416221985,0.9345417925478349,0.9712556732223904,0.9502839159606478
False,20,0.2,,mnist_contitonal_all.csv,2,,False,False,True,True,0.9829787234042553,0.9593535749265426,0.9525080042689434,0.9682779456193353,0.967725668179526,0.9661687832797204
False,20,0.2,,mnist_contitonal_all.csv,2,,False,False,True,False,0.9858156028368794,0.951028403525955,0.9434364994663821,0.9627391742195368,0.9798285426122038,0.9645696445321914
False,20,0.2,,mnist_contitonal_all.csv,2,1,True,False,True,True,0.9820330969267139,0.9515181194906954,0.8767342582710779,0.9697885196374623,0.9717599596570852,0.9503667907966069
False,20,0.2,,mnist_contitonal_all.csv,2,1,True,False,True,False,0.9900709219858156,0.9515181194906954,0.8948772678762006,0.9582074521651561,0.967725668179526,0.9524798859394787
False,20,0.2,,mnist_contitonal_all.csv,2,1,False,False,True,True,0.983451536643026,0.9520078354554359,0.9514407684098186,0.972306143001007,0.9707513867876955,0.9659915340593965
False,20,0.2,,mnist_contitonal_all.csv,2,1,False,False,True,False,0.9843971631205674,0.951028403525955,0.9525080042689434,0.9642497482376636,0.9667170953101362,0.9637800828926532
False,20,0.2,,mnist_contitonal_all.csv,2,2,True,False,True,True,0.9787234042553191,0.9490695396669931,0.7982924226254002,0.9491440080563948,0.9707513867876955,0.9291961522783605
False,20,0.2,,mnist_contitonal_all.csv,2,2,True,False,True,False,0.9881796690307328,0.9559255631733594,0.9146211312700107,0.9566968781470292,0.9596570852244075,0.955016065369108
False,20,0.2,,mnist_contitonal_all.csv,2,2,False,False,True,True,0.9810874704491725,0.9451518119490695,0.9583778014941302,0.959718026183283,0.972768532526475,0.963420728520426
False,20,0.2,,mnist_contitonal_all.csv,2,2,False,False,True,False,0.9806146572104019,0.9270323212536729,0.9445037353255069,0.9687814702920443,0.9697428139183056,0.9581349995999864
False,20,0.2,,mnist_contitonal_all.csv,4,,True,False,True,True,0.9366430260047282,0.9583741429970617,0.8831376734258272,0.9496475327291037,0.9652042360060514,0.9386013222325544
